"street","city","zip","state"
"109  PALABRA CT","FOLSOM","95630","CA"
"220  DUNCAN HILL RD","AUBURN","95603","CA"
"130  AVIATOR CIR","SACRAMENTO","95835","CA"
"5048  APPLE CREEK CT","POLLOCK PINES","95726","CA"
"292  CASTLEWOOD CIR","ROSEVILLE","95678","CA"
"25395  PINEVIEW DR","COLFAX","95713","CA"
"6037  SUNGLOW CT","CARMICHAEL","95608","CA"
"127  GOODELL RD","FOLSOM","95630","CA"
"8390  LA RIVIERA DR","SACRAMENTO","95826","CA"
"573  OTOMITES ST","SOUTH LAKE TAHOE","96150","CA"
"116  JANEWOOD CT","FOLSOM","95630","CA"
"519  FISHER CIR","FOLSOM","95630","CA"
"5027  KLONDIKE WAY","EL DORADO HILLS","95762","CA"
"1125  AUGUSTA WAY","ROSEVILLE","95661","CA"
"2953  BERGAMO WAY","SACRAMENTO","95833","CA"
"2306  HOMEWOOD WAY","CARMICHAEL","95608","CA"
"503  VIOLET LN","LINCOLN","95648","CA"
"3206  ROOT AVE","CARMICHAEL","95608","CA"
"3349  MYNA WAY","SACRAMENTO","95834","CA"
"5547  SAGE DR","ROCKLIN","95765","CA"
"4404  JUNO WAY","SACRAMENTO","95864","CA"
"130  AVIATOR CIR","SACRAMENTO","95835","CA"
"4789  NORWOOD AVE","SACRAMENTO","95838","CA"
"9778  FALCON MEADOW DR","ELK GROVE","95624","CA"
"135  ORRIN DR","AUBURN","95603","CA"
"1859  EMILY LN","LINCOLN","95648","CA"
"4332  CONSTANCE LN","SACRAMENTO","95822","CA"
"3549  BARDOLINO WAY","RANCHO CORDOVA","95670","CA"
"2881  UNITY POINT AVE","SACRAMENTO","95833","CA"
"4557  FOX VALLEY CIR","NORTH HIGHLANDS","95660","CA"
"3080  BRIW RIDGE RD","PLACERVILLE","95667","CA"
"5110  GIBBONS DR","CARMICHAEL","95608","CA"
"8405  DEER FERN CT","ANTELOPE","95843","CA"
"817  7TH AVE","SACRAMENTO","95818","CA"
"2916  BABSON DR","ELK GROVE","95758","CA"
"1968  BONAVISTA WAY","SACRAMENTO","95832","CA"
"6117  LEMON BELL WAY","SACRAMENTO","95824","CA"
"8651  CORDONIZ CT","ORANGEVALE","95662","CA"
"7162  SNOWY BIRCH WAY","SACRAMENTO","95823","CA"
"5470  BURR OAK WAY","FAIR OAKS","95628","CA"
"7517  COTTONTREE WAY","SACRAMENTO","95828","CA"
"7515  QUAIL VISTA LN","CITRUS HEIGHTS","95610","CA"
"1204  SCHOOL ST","FOLSOM","95630","CA"
"4357  FELL ST","SACRAMENTO","95838","CA"
"24  JORDAN CT","SACRAMENTO","95826","CA"
"3524  DOMICH WAY","SACRAMENTO","95821","CA"
"321  Q ST","RIO LINDA","95673","CA"
"8430  CASABLANCA WAY","SACRAMENTO","95828","CA"
"1390  WOODSIDE GLEN WAY","SACRAMENTO","95833","CA"
"6605  WELLSBORO WAY","CITRUS HEIGHTS","95621","CA"
"5328  PIMLICO AVE","SACRAMENTO","95841","CA"
"308  GREENMORE WAY","ROSEVILLE","95678","CA"
"3049  SECRET LAKE TRL","COOL","95614","CA"
"5455  BEAUREGARD WAY","ORANGEVALE","95662","CA"
"3748  DIDCOT CIR","SACRAMENTO","95838","CA"
"8187  TOMMY CIR","SACRAMENTO","95828","CA"
